5054 ,  511||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  41 ,   15||
5028 ,  515||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  40 ,   15||
5003 ,  519||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  40 ,   15||
4978 ,  523||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  40 ,   15||
4953 ,  527||   0 ,    0||   0 ,    0||  49 ,    6||   0 ,    0||   0 ,    0||
4937 ,  522||   0 ,    0||   0 ,    0||  48 ,    6||   0 ,    0||   0 ,    0||
4921 ,  517||   0 ,    0||   0 ,    0||  48 ,    7||   0 ,    0||   0 ,    0||
4523 ,  472||   0 ,    0||   0 ,    0|| 382 ,   95||   0 ,    0||   0 ,    0||
4226 ,  447|| 361 ,   38||   0 ,    0|| 245 ,  134||   0 ,    0||   0 ,    0||
3998 ,  438|| 620 ,   69||   0 ,    0|| 157 ,  142||   0 ,    0||   0 ,    0||
3823 ,  438|| 800 ,  103||   0 ,    0|| 100 ,  134||   0 ,    0||   0 ,    0||
3688 ,  442|| 919 ,  139||   0 ,    0||  64 ,  119||   0 ,    0||   0 ,    0||
3580 ,  449|| 944 ,  173||  49 ,    6||  41 ,  102||   0 ,    0||   0 ,    0||
3491 ,  460|| 946 ,  208||  87 ,   11||  26 ,   85||   0 ,    0||   0 ,    0||
3414 ,  474|| 933 ,  246|| 115 ,   15||  17 ,   69||   0 ,    0||   0 ,    0||
3553 ,  538|| 745 ,  235|| 107 ,   16||   9 ,   49||   0 ,    0||   0 ,    0||
3622 ,  588|| 488 ,  191|| 246 ,   43||   5 ,   34||   0 ,    0||   0 ,    0||
3650 ,  627|| 323 ,  147|| 337 ,   74||   3 ,   24||   0 ,    0||   0 ,    0||
3652 ,  656|| 216 ,  109|| 385 ,  112||   2 ,   16||   0 ,    0||   0 ,    0||
3805 ,  723|| 125 ,   67|| 272 ,  109||   1 ,    9||   0 ,    0||   0 ,    0||
3872 ,  768||  74 ,   40|| 211 ,  106||   1 ,    5||   0 ,    0||   0 ,    0||
3891 ,  799||  44 ,   24|| 180 ,   99||   0 ,    3||   0 ,    0||   0 ,    0||
3884 ,  818||  26 ,   14|| 165 ,   93||   0 ,    2||   0 ,    0||   0 ,    0||
4016 ,  902||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  33 ,   14||
3988 ,  892||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  32 ,   17||
3959 ,  885||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  32 ,   17||
3931 ,  878||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  32 ,   16||
3903 ,  870||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  31 ,   16||
3875 ,  863||   0 ,    0||   0 ,    0||  38 ,    9||   0 ,    0||   0 ,    0||
3855 ,  849||   0 ,    0||   0 ,    0||  37 ,   10||   0 ,    0||   0 ,    0||
